advertiser,election,topic,spend_week,spend_month,spend
WIN IT BACK,OH-09,Immigration,2024_10/22-10/28,2024_10,909.3739025
CONGRESSIONAL LEADERSHIP FUND,CA-41,Economy & Labor,2024_10/08-10/21,2024_10,5147.497
MARY PELTOLA CONGRESS,AK-01,Climate & Energy,2024_10/08-10/13,2024_10,195.833
MARCY KAPTUR CONGRESS,OH-09,Economy & Labor,2024_10/22-10/27,2024_10,25
AK BEFORE PARTY,AK-01,Economy & Labor,2024_10/01-10/07,2024_10,41855.1968
AK BEFORE PARTY,AK-01,Economy & Labor,2024_10/15-10/21,2024_10,95810.3965
DCCC,OH-09,Economy & Labor,2024_10/08-10/14,2024_10,10071.2417
HOUSE MAJORITY PAC,CA-45,Abortion,2024_10/22-10/28,2024_10,28423.51244
MARCY KAPTUR CONGRESS,OH-09,Education,2024_10/01-10/14,2024_10,4.9999
MARCY KAPTUR CONGRESS,OH-09,Climate & Energy,2024_10/29-11/11,2024_11,3919.37284
MICHELLE STEEL CONGRESS,CA-45,Economy & Labor,2024_10/29-11/04,2024_10,41495.1962
WILL ROLLINS CONGRESS,CA-41,Economy & Labor,2024_10/22-10/28,2024_10,51945.99749
MARCY KAPTUR CONGRESS,OH-09,Climate & Energy,2024_10/15-10/28,2024_10,7431.872657
DCCC,OH-09,Economy & Labor,2024_10/29-11/03,2024_11,4668.74611
DCCC,AK-01,Economy & Labor,2024_10/29-11/11,2024_11,2723.9563
WIN IT BACK,OH-09,Immigration,2024_10/15-10/28,2024_10,96.2498
CLUB FOR GROWTH,AK-01,Economy & Labor,2024_10/15-10/28,2024_10,2318.7485
PIVOT PAC,CA-45,Abortion,2024_10/29-11/04,2024_10,383.110355
EDW ACTION,AK-01,Economy & Labor,2024_11/05-11/11,2024_11,5999.9982
KEN CALVERT CONGRESS,CA-41,Economy & Labor,2024_10/29-11/03,2024_11,50657.70143
MARCY KAPTUR CONGRESS,OH-09,Immigration,2024_10/22-10/27,2024_10,2.5
NRCC,CA-41,Economy & Labor,2024_10/15-10/20,2024_10,8586.2481
SANFORD BISHOP CONGRESS,GA-02,Economy & Labor,2024_10/29-11/04,2024_11,4289.7872
WIN IT BACK,OH-09,Immigration,2024_10/08-10/14,2024_10,8960.620318
CONGRESSIONAL LEADERSHIP FUND,AK-01,Immigration,2024_10/22-11/04,2024_10,37663.5372
NRDC,CA-41,Climate & Energy,2024_10/29-11/04,2024_11,26858.955
PRO-CHOICE WOMEN,OH-09,Abortion,2024_11/05-11/11,2024_11,1224.998605
CONGRESSIONAL LEADERSHIP FUND,CA-41,Economy & Labor,2024_10/29-11/11,2024_11,33682.0709
MICHELLE STEEL CONGRESS,CA-45,Economy & Labor,2024_10/29-11/11,2024_11,20159.5788
WILL ROLLINS CONGRESS,CA-41,Immigration,2024_10/22-10/28,2024_10,237.2828075
AFP ACTION,CA-45,Economy & Labor,2024_10/22-11/04,2024_10,9.99961
NRCC,OH-09,Economy & Labor,2024_10/22-10/28,2024_10,1354.371305
WAYNE JOHNSON CONGRESS,GA-02,Economy & Labor,2024_11/05-11/11,2024_11,180.2079
WIN IT BACK,OH-09,Immigration,2024_10/29-11/03,2024_11,429.9997025
AFSCME,OH-09,Economy & Labor,2024_10/01-10/06,2024_10,8646.247682
NRCC,OH-09,Economy & Labor,2024_10/08-10/21,2024_10,12419.36972
DCCC,OH-09,Economy & Labor,2024_10/22-10/27,2024_10,2781.245912
NRCC,AK-01,Economy & Labor,2024_10/08-10/13,2024_10,22.9163
HOUSE MAJORITY PAC,CA-45,Abortion,2024_10/15-10/28,2024_10,1554.16401
VOTEVETS,CA-45,Abortion,2024_10/29-11/03,2024_11,117.4951175
CONGRESSIONAL LEADERSHIP FUND,OH-09,Immigration,2024_10/08-10/14,2024_10,67787.48519
CONGRESSIONAL LEADERSHIP FUND,OH-09,Immigration,2024_10/29-11/04,2024_11,46345.61824
DCCC,CA-41,Abortion,2024_10/29-11/04,2024_10,3021.659498
DEREK TRAN CONGRESS,CA-45,Abortion,2024_10/15-10/20,2024_10,13669.9977
HOUSE MAJORITY PAC,OH-09,Abortion,2024_10/08-10/13,2024_10,3685.622517
MARCY KAPTUR CONGRESS,OH-09,Abortion,2024_10/22-11/04,2024_10,3972.497912
MICHELLE STEEL CONGRESS,CA-45,Economy & Labor,2024_10/29-11/03,2024_11,20379.787
SANFORD BISHOP CONGRESS,GA-02,Economy & Labor,2024_11/05-11/11,2024_11,837.0819
CONGRESSIONAL LEADERSHIP FUND,CA-41,Economy & Labor,2024_10/01-10/07,2024_10,28110.6185
MARCY KAPTUR CONGRESS,OH-09,Abortion,2024_10/01-10/14,2024_10,287.4992
MARCY KAPTUR CONGRESS,OH-09,Economy & Labor,2024_10/01-10/14,2024_10,2.5
AMERICANS 4 SECURITY INC,CA-41,Economy & Labor,2024_10/22-10/27,2024_10,1764.9993
WIN IT BACK,AK-01,Climate & Energy,2024_10/29-11/03,2024_11,10.4164
CONGRESSIONAL LEADERSHIP FUND,AK-01,Immigration,2024_10/15-10/28,2024_10,22772.9124
DCCC,OH-09,Economy & Labor,2024_10/01-10/14,2024_10,5925.62328
MARY PELTOLA CONGRESS,AK-01,Abortion,2024_10/15-10/21,2024_10,404.165
MARY PELTOLA CONGRESS,AK-01,Climate & Energy,2024_10/15-10/21,2024_10,711.4571
NRCC,OH-09,Immigration,2024_10/01-10/07,2024_10,37568.10252
WILL ROLLINS CONGRESS,CA-41,Economy & Labor,2024_10/29-11/04,2024_10,30754.56265
HOUSE MAJORITY PAC,CA-45,Abortion,2024_10/29-11/11,2024_11,6649.992413
KEN CALVERT CONGRESS,CA-41,Economy & Labor,2024_10/15-10/28,2024_10,4049.784555
NRCC,CA-41,Economy & Labor,2024_10/29-11/03,2024_11,142.91103
DCCC,OH-09,Economy & Labor,2024_10/29-11/04,2024_11,21985.6137
DCCC,OH-09,Abortion,2024_10/15-10/21,2024_10,1481.24801
FAIRSHAKE,AK-01,Abortion,2024_10/08-10/13,2024_10,70.8332
HOUSE MAJORITY PAC,CA-45,Economy & Labor,2024_10/08-10/14,2024_10,368.11034
MARCY KAPTUR CONGRESS,OH-09,Economy & Labor,2024_10/22-10/28,2024_10,33848.73949
NRCC,OH-09,Economy & Labor,2024_10/15-10/21,2024_10,26336.86427
VOTEVETS,CA-45,Abortion,2024_11/05-11/11,2024_11,86.6632825
MARY PELTOLA CONGRESS,AK-01,Climate & Energy,2024_10/08-10/14,2024_10,537.498
SANFORD BISHOP CONGRESS,GA-02,Economy & Labor,2024_10/15-10/21,2024_10,8803.1188
VOTEVETS,CA-45,Abortion,2024_10/22-11/04,2024_10,152.49365
EDW ACTION,AK-01,Economy & Labor,2024_10/22-11/04,2024_10,6936.4563
PIVOT PAC,CA-45,Abortion,2024_11/05-11/11,2024_11,23.9576125
AK BEFORE PARTY,AK-01,Abortion,2024_10/22-10/27,2024_10,847.9151
HOUSE MAJORITY PAC,CA-41,Economy & Labor,2024_10/29-11/04,2024_10,21061.02418
MARY PELTOLA CONGRESS,AK-01,Economy & Labor,2024_10/01-10/07,2024_10,22846.8609
WIN IT BACK,OH-09,Immigration,2024_10/15-10/21,2024_10,996.87301
HOUSE MAJORITY PAC,OH-09,Economy & Labor,2024_10/08-10/21,2024_10,6943.122652
NRCC,AK-01,Economy & Labor,2024_10/08-10/14,2024_10,48.9578
DCCC,AK-01,Economy & Labor,2024_10/15-10/20,2024_10,1378.1237
HOUSE MAJORITY PAC,CA-45,Economy & Labor,2024_10/08-10/13,2024_10,69.16376501
HOUSE MAJORITY PAC,OH-09,Economy & Labor,2024_10/29-11/03,2024_11,22.4998
AMERICAN ACTION NETWORK,AK-01,Immigration,2024_10/29-11/03,2024_11,4.1666
AFP ACTION,CA-45,Economy & Labor,2024_10/15-10/20,2024_10,4.999705004
CONGRESSIONAL LEADERSHIP FUND,AK-01,Immigration,2024_10/08-10/14,2024_10,93784.3604
DCCC,OH-09,Abortion,2024_10/15-10/28,2024_10,4.9999
DEREK TRAN CONGRESS,CA-45,Abortion,2024_10/08-10/13,2024_10,22354.9976
HOUSE MAJORITY PAC,CA-41,Abortion,2024_10/08-10/21,2024_10,11520.6211
MARCY KAPTUR CONGRESS,OH-09,Education,2024_10/08-10/21,2024_10,2.5
AK BEFORE PARTY,AK-01,Economy & Labor,2024_10/22-10/27,2024_10,9598.9564
HOUSE MAJORITY PAC,CA-45,Abortion,2024_10/01-10/07,2024_10,27.4988275
NRCC,OH-09,Immigration,2024_10/01-10/14,2024_10,9539.996905
WILL ROLLINS CONGRESS,CA-41,Immigration,2024_10/08-10/14,2024_10,554.5614325
DCCC,AK-01,Economy & Labor,2024_10/15-10/28,2024_10,692.7073
WIN IT BACK,AK-01,Climate & Energy,2024_10/22-10/27,2024_10,609.3741
DEREK TRAN CONGRESS,CA-45,Abortion,2024_10/01-10/14,2024_10,10692.49529
MICHELLE STEEL CONGRESS,CA-45,Economy & Labor,2024_10/08-10/21,2024_10,1769.9995
DCCC,CA-41,Abortion,2024_10/22-11/04,2024_10,909.998025
DCCC,OH-09,Abortion,2024_10/29-11/04,2024_11,12144.99237
HOUSE MAJORITY PAC,CA-45,Abortion,2024_10/22-10/27,2024_10,2422.494703
MARCY KAPTUR CONGRESS,OH-09,Climate & Energy,2024_11/05-11/11,2024_11,1864.37291
PRO-CHOICE WOMEN,OH-09,Abortion,2024_10/29-11/04,2024_11,9366.870165
WAYNE JOHNSON CONGRESS,GA-02,Economy & Labor,2024_10/08-10/14,2024_10,180.4130042
CONGRESSIONAL LEADERSHIP FUND,CA-41,Economy & Labor,2024_11/05-11/11,2024_11,8266.0337
DCCC,CA-41,Abortion,2024_10/08-10/13,2024_10,1653.953393
DCCC,CA-41,Abortion,2024_10/29-11/04,2024_11,1611.24664
AK BEFORE PARTY,AK-01,Economy & Labor,2024_11/05-11/11,2024_11,7615.6229
MARY PELTOLA CONGRESS,AK-01,Economy & Labor,2024_11/05-11/11,2024_11,10083.3268
CLUB FOR GROWTH,AK-01,Economy & Labor,2024_10/08-10/21,2024_10,2553.1236
DCCC,AK-01,Economy & Labor,2024_11/05-11/11,2024_11,920.8326
HOUSE MAJORITY PAC,OH-09,Abortion,2024_10/15-10/20,2024_10,11384.99652
HOUSE MAJORITY PAC,OH-09,Abortion,2024_10/22-10/27,2024_10,8821.8719
KEN CALVERT CONGRESS,CA-41,Economy & Labor,2024_10/29-11/11,2024_11,40030.40854
MARY PELTOLA CONGRESS,AK-01,Abortion,2024_10/08-10/14,2024_10,777.0819
DCCC,CA-45,Abortion,2024_10/22-10/28,2024_10,11887.9044
WIN IT BACK,AK-01,Climate & Energy,2024_10/29-11/04,2024_10,798.9562
SANFORD BISHOP CONGRESS,GA-02,Economy & Labor,2024_10/22-11/04,2024_10,4099.5809
NRCC,OH-09,Economy & Labor,2024_11/05-11/11,2024_11,18.7498
NICK BEGICH CONGRESS,AK-01,Climate & Energy,2024_11/05-11/11,2024_11,9862.498
AK JOBS COALITION,AK-01,Economy & Labor,2024_10/01-10/14,2024_10,5861.4556
EDW ACTION,AK-01,Economy & Labor,2024_10/29-11/11,2024_11,5788.5402
CLUB FOR GROWTH,AK-01,Economy & Labor,2024_10/22-11/04,2024_10,3835.4133
MARCY KAPTUR CONGRESS,OH-09,Economy & Labor,2024_10/08-10/13,2024_10,5793.122552
MARCY KAPTUR CONGRESS,OH-09,Abortion,2024_10/01-10/06,2024_10,308.7489025
MICHAEL LIPETRI CONGRESS,NY-03,Immigration,2024_11/05-11/11,2024_11,1483.3324
CONGRESSIONAL LEADERSHIP FUND,OH-09,Immigration,2024_10/29-11/03,2024_11,31983.12007
MARY PELTOLA CONGRESS,AK-01,Economy & Labor,2024_10/01-10/06,2024_10,2541.6639
VOTEVETS,CA-45,Abortion,2024_10/15-10/20,2024_10,1834.7879
AK JOBS COALITION,AK-01,Economy & Labor,2024_10/08-10/13,2024_10,4.1666
MARCY KAPTUR CONGRESS,OH-09,Immigration,2024_10/08-10/21,2024_10,5
AFP ACTION,CA-45,Economy & Labor,2024_10/01-10/06,2024_10,1281.4567
AFSCME,OH-09,Economy & Labor,2024_10/01-10/07,2024_10,42844.99008
HOUSE MAJORITY PAC,CA-45,Abortion,2024_10/29-11/04,2024_11,9532.48911
NRCC,AK-01,Economy & Labor,2024_10/29-11/04,2024_11,70.8328
AMERICAN ACTION NETWORK,OH-09,Immigration,2024_10/15-10/21,2024_10,12.5
NRDC,CA-41,Climate & Energy,2024_10/29-11/11,2024_11,14948.5404
WILL ROLLINS CONGRESS,CA-41,Immigration,2024_10/08-10/13,2024_10,37.49813752
CONGRESSIONAL LEADERSHIP FUND,AK-01,Economy & Labor,2024_10/08-10/13,2024_10,13049.9979
MARY PELTOLA CONGRESS,AK-01,Economy & Labor,2024_10/15-10/28,2024_10,7095.8287
AK BEFORE PARTY,AK-01,Abortion,2024_10/22-10/28,2024_10,7086.4505
AMERICANS 4 SECURITY INC,CA-41,Economy & Labor,2024_10/29-11/04,2024_11,5199.9988
HOUSE MAJORITY PAC,OH-09,Abortion,2024_10/29-11/11,2024_11,4456.246822
HOUSE MAJORITY PAC,CA-41,Economy & Labor,2024_10/29-11/11,2024_11,11967.70065
MARCY KAPTUR CONGRESS,OH-09,Climate & Energy,2024_10/15-10/21,2024_10,23356.23921
MICHELLE STEEL CONGRESS,CA-45,Economy & Labor,2024_10/22-10/28,2024_10,47559.1534
AK JOBS COALITION,AK-01,Economy & Labor,2024_10/29-11/03,2024_11,4.1666
LCV,CA-45,Economy & Labor,2024_10/22-11/04,2024_10,7899.9981
MARCY KAPTUR CONGRESS,OH-09,Abortion,2024_11/05-11/11,2024_11,5308.747415
NANCY DAHLSTROM CONGRESS,AK-01,Immigration,2024_10/08-10/14,2024_10,4.1666
HOUSE MAJORITY PAC,OH-09,Economy & Labor,2024_10/29-11/11,2024_11,5
MARCY KAPTUR CONGRESS,OH-09,Education,2024_10/08-10/13,2024_10,12.4998
CLUB FOR GROWTH,AK-01,Economy & Labor,2024_10/22-10/28,2024_10,6637.4939
DCCC,CA-41,Abortion,2024_10/22-10/28,2024_10,4880.615203
MARCY KAPTUR CONGRESS,OH-09,Abortion,2024_10/22-10/28,2024_10,5755.619832
NRCC,OH-09,Economy & Labor,2024_10/15-10/28,2024_10,338.7492025
NRDC,CA-41,Climate & Energy,2024_11/05-11/11,2024_11,11620.6239
WILL ROLLINS CONGRESS,CA-41,Immigration,2024_10/08-10/21,2024_10,52.49775251
CLUB FOR GROWTH,AK-01,Economy & Labor,2024_10/15-10/21,2024_10,10742.7012
AMERICANS 4 SECURITY INC,CA-41,Economy & Labor,2024_10/08-10/13,2024_10,3518.1243
DCCC,OH-09,Economy & Labor,2024_10/29-11/11,2024_11,6222.49672
DCCC,OH-09,Abortion,2024_10/29-11/04,2024_10,19708.74001
HOUSE MAJORITY PAC,CA-45,Abortion,2024_10/29-11/04,2024_10,20897.69051
HOUSE MAJORITY PAC,CA-41,Economy & Labor,2024_10/22-11/04,2024_10,12288.32372
WILL ROLLINS CONGRESS,CA-41,Economy & Labor,2024_10/15-10/21,2024_10,67008.91016
WIN IT BACK,AK-01,Climate & Energy,2024_10/01-10/14,2024_10,15738.5395
DCCC,CA-41,Abortion,2024_10/22-10/27,2024_10,889.998115
WILL ROLLINS CONGRESS,CA-41,Economy & Labor,2024_10/15-10/28,2024_10,15012.69912
NICK BEGICH CONGRESS,AK-01,Climate & Energy,2024_10/29-11/11,2024_11,24791.6644
NRCC,CA-41,Economy & Labor,2024_10/22-10/27,2024_10,5168.1239
FAIRSHAKE,AK-01,Abortion,2024_10/29-11/03,2024_11,4.1666
EDW ACTION,AK-01,Economy & Labor,2024_10/29-11/04,2024_10,21260.4121
HOUSE MAJORITY PAC,OH-09,Economy & Labor,2024_10/15-10/21,2024_10,15102.48921
NRCC,OH-09,Immigration,2024_10/08-10/14,2024_10,41508.10244
DCCC,CA-45,Abortion,2024_10/29-11/03,2024_11,9274.7877
DCCC,CA-45,Abortion,2024_10/15-10/21,2024_10,2429.5796
MARCY KAPTUR CONGRESS,OH-09,Climate & Energy,2024_10/29-11/04,2024_11,5702.496322
NRCC,OH-09,Immigration,2024_10/01-10/06,2024_10,5592.496937
WIN IT BACK,AK-01,Climate & Energy,2024_10/22-10/28,2024_10,2229.1626
NRCC,CA-41,Economy & Labor,2024_10/22-11/04,2024_10,5008.3323
AK BEFORE PARTY,AK-01,Abortion,2024_10/15-10/20,2024_10,1363.5401
MARY PELTOLA CONGRESS,AK-01,Abortion,2024_10/01-10/14,2024_10,76.0416
CONGRESSIONAL LEADERSHIP FUND,CA-41,Economy & Labor,2024_10/22-10/28,2024_10,110343.9153
HOUSE MAJORITY PAC,CA-41,Abortion,2024_10/01-10/06,2024_10,21582.2882
HOUSE MAJORITY PAC,OH-09,Abortion,2024_10/29-11/04,2024_10,28252.489
MARCY KAPTUR CONGRESS,OH-09,Economy & Labor,2024_10/15-10/28,2024_10,9908.74736
MARCY KAPTUR CONGRESS,OH-09,Climate & Energy,2024_10/22-10/27,2024_10,3468.747935
MARY PELTOLA CONGRESS,AK-01,Economy & Labor,2024_10/29-11/04,2024_10,21841.6486
AK BEFORE PARTY,AK-01,Economy & Labor,2024_10/01-10/06,2024_10,9864.5811
CONGRESSIONAL LEADERSHIP FUND,CA-41,Economy & Labor,2024_10/15-10/20,2024_10,20803.1159
CONGRESSIONAL LEADERSHIP FUND,CA-41,Economy & Labor,2024_10/29-11/03,2024_11,40135.4065
DCCC,CA-41,Abortion,2024_10/01-10/07,2024_10,11320.59069
MARCY KAPTUR CONGRESS,OH-09,Education,2024_10/22-10/27,2024_10,7.5
SANFORD BISHOP CONGRESS,GA-02,Economy & Labor,2024_10/29-11/11,2024_11,6211.0376
FAIRSHAKE,AK-01,Abortion,2024_10/15-10/28,2024_10,24.9998
MARCY KAPTUR CONGRESS,OH-09,Immigration,2024_10/01-10/06,2024_10,7.4999
DCCC,CA-45,Abortion,2024_10/15-10/28,2024_10,1857.497
DCCC,CA-45,Abortion,2024_11/05-11/11,2024_11,1377.0816
CONGRESSIONAL LEADERSHIP FUND,AK-01,Immigration,2024_10/29-11/11,2024_11,22585.4128
CONGRESSIONAL LEADERSHIP FUND,OH-09,Immigration,2024_10/22-10/27,2024_10,6279.372225
CONGRESSIONAL LEADERSHIP FUND,OH-09,Immigration,2024_10/22-10/28,2024_10,84759.97652
HOUSE MAJORITY PAC,CA-41,Economy & Labor,2024_10/22-10/28,2024_10,52323.31326
KEN CALVERT CONGRESS,CA-41,Economy & Labor,2024_10/01-10/14,2024_10,6123.535408
MARY PELTOLA CONGRESS,AK-01,Climate & Energy,2024_10/01-10/07,2024_10,947.9151
NRCC,CA-41,Economy & Labor,2024_10/15-10/21,2024_10,44789.5745
NRCC,AK-01,Economy & Labor,2024_10/22-10/27,2024_10,14395.8311
NRCC,AK-01,Economy & Labor,2024_10/15-10/21,2024_10,102644.78
WIN IT BACK,OH-09,Immigration,2024_10/29-11/04,2024_10,652.4993025
AK BEFORE PARTY,AK-01,Climate & Energy,2024_10/15-10/21,2024_10,56.2497
VOTEVETS,CA-45,Abortion,2024_10/29-11/04,2024_10,274.1552675
DEREK TRAN CONGRESS,CA-45,Abortion,2024_10/22-10/27,2024_10,79.99658001
DEREK TRAN CONGRESS,CA-45,Abortion,2024_10/22-11/04,2024_10,57.49755751
MICHELLE STEEL CONGRESS,CA-45,Abortion,2024_10/01-10/07,2024_10,7.499607504
NRCC,AK-01,Economy & Labor,2024_10/29-11/11,2024_11,36.4581
MARCY KAPTUR CONGRESS,OH-09,Education,2024_10/29-11/11,2024_11,2.5
DCCC,AK-01,Economy & Labor,2024_10/22-10/28,2024_10,4007.2862
AK JOBS COALITION,AK-01,Economy & Labor,2024_10/01-10/07,2024_10,95952.0624
CONGRESSIONAL LEADERSHIP FUND,CA-41,Economy & Labor,2024_10/01-10/14,2024_10,5303.3314
DCCC,CA-41,Abortion,2024_10/29-11/03,2024_11,684.998715
DEREK TRAN CONGRESS,CA-45,Abortion,2024_10/08-10/14,2024_10,68561.034
NRCC,CA-41,Economy & Labor,2024_10/29-11/04,2024_10,7327.08101
NRCC,OH-09,Economy & Labor,2024_10/08-10/13,2024_10,5261.24565
NRCC,OH-09,Economy & Labor,2024_10/01-10/06,2024_10,2635.621837
WILL ROLLINS CONGRESS,CA-41,Economy & Labor,2024_10/01-10/06,2024_10,21949.785
HOUSE MAJORITY PAC,OH-09,Economy & Labor,2024_11/05-11/11,2024_11,9.9999
MARCY KAPTUR CONGRESS,OH-09,Immigration,2024_10/08-10/14,2024_10,5
MARY PELTOLA CONGRESS,AK-01,Economy & Labor,2024_10/15-10/20,2024_10,4830.2031
AK JOBS COALITION,AK-01,Economy & Labor,2024_10/22-10/28,2024_10,8.3333
MARCY KAPTUR CONGRESS,OH-09,Economy & Labor,2024_10/29-11/11,2024_11,9.9999
AMERICANS 4 SECURITY INC,CA-41,Economy & Labor,2024_10/22-10/28,2024_10,8194.9955
DCCC,CA-45,Abortion,2024_10/29-11/04,2024_11,19742.9083
DEREK TRAN CONGRESS,CA-45,Abortion,2024_10/08-10/21,2024_10,20591.4555
NRCC,CA-41,Economy & Labor,2024_10/08-10/13,2024_10,8213.7488
NRCC,AK-01,Economy & Labor,2024_10/22-10/28,2024_10,68670.823
VOTEVETS,CA-45,Abortion,2024_10/08-10/14,2024_10,12739.1524
DCCC,OH-09,Economy & Labor,2024_10/01-10/06,2024_10,2570.622317
HOUSE MAJORITY PAC,OH-09,Economy & Labor,2024_10/29-11/04,2024_11,50.6247
DEREK TRAN CONGRESS,CA-45,Abortion,2024_10/01-10/06,2024_10,9524.15896
WIN IT BACK,OH-09,Immigration,2024_10/08-10/21,2024_10,317.4995
AK BEFORE PARTY,AK-01,Economy & Labor,2024_10/29-11/04,2024_10,28770.827
HOUSE MAJORITY PAC,OH-09,Economy & Labor,2024_10/15-10/28,2024_10,3073.748012
MARCY KAPTUR CONGRESS,OH-09,Immigration,2024_10/22-10/28,2024_10,7.5
MARCY KAPTUR CONGRESS,OH-09,Economy & Labor,2024_10/29-11/04,2024_10,44.9997
WILL ROLLINS CONGRESS,CA-41,Immigration,2024_10/15-10/21,2024_10,214.99121
MARCY KAPTUR CONGRESS,OH-09,Abortion,2024_10/29-11/04,2024_11,8020.619942
MARY PELTOLA CONGRESS,AK-01,Abortion,2024_10/22-10/28,2024_10,311.457
NRCC,OH-09,Immigration,2024_10/08-10/13,2024_10,6256.24565
WILL ROLLINS CONGRESS,CA-41,Economy & Labor,2024_10/29-11/03,2024_11,14877.4882
HOUSE MAJORITY PAC,CA-41,Economy & Labor,2024_10/15-10/21,2024_10,16002.4971
KEN CALVERT CONGRESS,CA-41,Economy & Labor,2024_10/08-10/13,2024_10,4141.871758
MARY PELTOLA CONGRESS,AK-01,Climate & Energy,2024_10/29-11/04,2024_10,8.3332
NRCC,AK-01,Immigration,2024_10/29-11/11,2024_11,201.0411
NRCC,AK-01,Economy & Labor,2024_10/01-10/14,2024_10,19576.0388
MARY PELTOLA CONGRESS,AK-01,Abortion,2024_10/08-10/13,2024_10,91.6663
DEREK TRAN CONGRESS,CA-45,Abortion,2024_11/05-11/11,2024_11,87.49628751
CONGRESSIONAL LEADERSHIP FUND,AK-01,Immigration,2024_10/22-10/28,2024_10,172203.1012
WILL ROLLINS CONGRESS,CA-41,Immigration,2024_10/22-10/27,2024_10,2561.2472
WORKERS FOR AMERICA'S FUTURE,AK-01,Economy & Labor,2024_10/08-10/14,2024_10,74.9998
AFP ACTION,OH-09,Economy & Labor,2024_10/01-10/06,2024_10,2653.122785
DCCC,CA-45,Abortion,2024_10/15-10/20,2024_10,1116.6652
FAIRSHAKE,AK-01,Abortion,2024_10/22-10/28,2024_10,4.1666
WIN IT BACK,AK-01,Climate & Energy,2024_10/29-11/11,2024_11,110.416
DEREK TRAN CONGRESS,CA-45,Abortion,2024_10/15-10/28,2024_10,12727.914
MARCY KAPTUR CONGRESS,OH-09,Immigration,2024_10/29-11/11,2024_11,11046.87248
NRCC,OH-09,Immigration,2024_10/29-11/04,2024_10,33071.86574
SANFORD BISHOP CONGRESS,GA-02,Economy & Labor,2024_10/29-11/04,2024_10,13018.7397
HOUSE MAJORITY PAC,CA-45,Abortion,2024_11/05-11/11,2024_11,1862.912903
MARCY KAPTUR CONGRESS,OH-09,Abortion,2024_10/08-10/21,2024_10,28.1248
EDW ACTION,AK-01,Economy & Labor,2024_10/29-11/04,2024_11,14330.2053
FAIRSHAKE,AK-01,Abortion,2024_10/01-10/06,2024_10,28.1248
AK BEFORE PARTY,AK-01,Climate & Energy,2024_10/08-10/14,2024_10,134.3745
DCCC,OH-09,Economy & Labor,2024_10/15-10/21,2024_10,1990.619905
DEREK TRAN CONGRESS,CA-45,Abortion,2024_10/01-10/07,2024_10,35901.43008
HOUSE MAJORITY PAC,OH-09,Economy & Labor,2024_10/15-10/20,2024_10,2746.872812
MARCY KAPTUR CONGRESS,OH-09,Immigration,2024_10/29-11/03,2024_11,4952.497332
WILL ROLLINS CONGRESS,CA-41,Immigration,2024_10/01-10/14,2024_10,59.99745751
AK BEFORE PARTY,AK-01,Economy & Labor,2024_10/22-10/28,2024_10,56378.1093
DCCC,AK-01,Economy & Labor,2024_10/29-11/03,2024_11,3130.2054
AK BEFORE PARTY,AK-01,Abortion,2024_10/15-10/28,2024_10,1342.7068
HOUSE MAJORITY PAC,OH-09,Economy & Labor,2024_10/22-10/27,2024_10,904.9982
AMERICAN ACTION NETWORK,AK-01,Immigration,2024_10/22-10/28,2024_10,4.1666
CONGRESSIONAL LEADERSHIP FUND,AK-01,Economy & Labor,2024_10/01-10/07,2024_10,161266.6521
HOUSE MAJORITY PAC,OH-09,Abortion,2024_10/29-11/04,2024_11,18833.74303
KEN CALVERT CONGRESS,CA-41,Economy & Labor,2024_10/29-11/04,2024_11,79021.23843
NRCC,OH-09,Immigration,2024_10/29-11/04,2024_11,21854.36645
NRCC,CA-41,Economy & Labor,2024_10/08-10/14,2024_10,46995.615
NRCC,OH-09,Immigration,2024_10/29-11/11,2024_11,16488.74659
NRCC,OH-09,Immigration,2024_10/29-11/03,2024_11,11874.99491
DCCC,CA-45,Abortion,2024_10/29-11/11,2024_11,7002.288
MICHELLE STEEL CONGRESS,CA-45,Abortion,2024_10/15-10/21,2024_10,7.4997075
CONGRESSIONAL LEADERSHIP FUND,AK-01,Economy & Labor,2024_10/29-11/04,2024_10,40.6246
EDW ACTION,AK-01,Economy & Labor,2024_10/29-11/03,2024_11,6079.1648
HOUSE MAJORITY PAC,CA-41,Economy & Labor,2024_10/29-11/04,2024_11,14788.11399
AK BEFORE PARTY,AK-01,Abortion,2024_10/29-11/03,2024_11,1821.8735
DCCC,CA-41,Abortion,2024_10/01-10/06,2024_10,1497.494408
NRCC,CA-41,Economy & Labor,2024_10/29-11/11,2024_11,83.12147752
DCCC,OH-09,Abortion,2024_10/08-10/21,2024_10,4410.623717
FAIRSHAKE,AK-01,Abortion,2024_10/01-10/07,2024_10,267.7067
HOUSE MAJORITY PAC,CA-41,Abortion,2024_10/01-10/07,2024_10,114334.1443
MARY PELTOLA CONGRESS,AK-01,Abortion,2024_10/15-10/20,2024_10,24.9999
CLUB FOR GROWTH,AK-01,Economy & Labor,2024_10/22-10/27,2024_10,2867.7053
CONGRESSIONAL LEADERSHIP FUND,CA-41,Economy & Labor,2024_10/08-10/14,2024_10,23612.2779
CONGRESSIONAL LEADERSHIP FUND,CA-41,Economy & Labor,2024_10/15-10/21,2024_10,84374.3403
DCCC,OH-09,Abortion,2024_10/22-10/28,2024_10,42066.23011
HOUSE MAJORITY PAC,CA-41,Economy & Labor,2024_11/05-11/11,2024_11,5606.247002
